id,room_type,n_beds,n_baths,is_bath_shared,bnb_house
602,1 bedroom,1,,False,660036
603,2 bedrooms,2,1,False,552639
604,2 bedrooms,2,2.5,False,664047
605,1 bedroom,1,,False,553872
606,1 bedroom,1,1,False,665394
607,1 bedroom,1,1,False,666220
608,1 bedroom,1,,False,553903
609,1 bedroom,1,1,False,557487
610,2 bedrooms,2,1,False,560078
611,2 bedrooms,2,1,False,666613
612,1 bedroom,1,1,False,563442
613,Studio,1,1,False,666837
614,1 bedroom,1,1,False,564649
615,1 bedroom,1,1,False,667375
616,1 bedroom,1,1.5,False,565814
617,2 bedrooms,2,1,False,667502
618,1 bedroom,1,,True,566712
619,1 bedroom,1,,True,668691
620,1 bedroom,1,1,False,568661
621,1 bedroom,1,,False,680104
622,3 bedrooms,3,2.5,False,680338
623,1 bedroom,1,1,False,568684
624,1 bedroom,1,1,False,569255
625,1 bedroom,1,,True,681599
626,1 bedroom,1,1,False,570218
627,1 bedroom,1,1,False,684808
628,2 bedrooms,2,1,False,570750
629,1 bedroom,1,1,False,684991
630,1 bedroom,1,,True,570797
631,1 bedroom,1,,True,571564
632,2 bedrooms,2,1,False,688652
633,1 bedroom,1,,True,689329
634,1 bedroom,1,,True,573612
635,1 bedroom,1,,True,573671
636,2 bedrooms,2,1,False,690603
637,2 bedrooms,2,,True,576227
638,5 bedrooms,5,3.5,False,690934
639,1 bedroom,1,1,False,576916
640,1 bedroom,1,1,False,691069
641,1 bedroom,1,0.5,False,695465
642,2 bedrooms,2,1,False,579251
643,2 bedrooms,2,1,False,581488
644,1 bedroom,1,,True,698094
645,1 bedroom,1,,False,698132
646,1 bedroom,1,,False,582372
647,1 bedroom,1,,True,698882
648,1 bedroom,1,1,False,583352
649,1 bedroom,1,1,False,700916
650,1 bedroom,1,,True,584122
651,1 bedroom,1,1,False,703745
652,1 bedroom,1,,True,703971
653,1 bedroom,1,,True,587519
654,2 bedrooms,2,1,False,704838
655,1 bedroom,1,,True,587698
656,2 bedrooms,2,1.5,False,587740
657,1 bedroom,1,,True,705749
658,2 bedrooms,2,,False,590903
659,Studio,1,1,False,705997
660,1 bedroom,1,,True,591135
661,2 bedrooms,2,,False,707396
662,2 bedrooms,2,1.5,False,707736
663,1 bedroom,1,1,False,591565
664,1 bedroom,1,1,False,593000
665,2 bedrooms,2,1,False,711635
666,2 bedrooms,2,2,False,594036
667,2 bedrooms,2,1,False,712127
668,1 bedroom,1,,True,712136
669,1 bedroom,1,2,False,594732
670,1 bedroom,1,1,False,597624
671,1 bedroom,1,,False,713538
672,1 bedroom,1,,True,597668
673,1 bedroom,1,1,False,599595
674,2 bedrooms,2,1,False,713891
675,1 bedroom,1,1,False,714028
676,1 bedroom,1,,True,600775
677,2 bedrooms,2,1,False,714049
678,2 bedrooms,2,1,False,600877
679,1 bedroom,1,,True,715102
680,1 bedroom,1,1,False,602070
681,2 bedrooms,2,1,False,717582
682,2 bedrooms,2,3,False,604204
683,1 bedroom,1,1,False,721762
684,Studio,1,1,False,606269
685,1 bedroom,1,1,False,723507
686,Studio,2,1,False,607735
687,3 bedrooms,3,2,False,725509
688,Studio,1,1,False,607781
689,1 bedroom,1,1,False,727512
690,1 bedroom,1,1,False,609213
691,1 bedroom,1,1,False,727547
692,2 bedrooms,2,1.5,False,805028
693,1 bedroom,1,1,False,729841
694,1 bedroom,1,,True,805218
695,1 bedroom,1,1,False,731316
696,2 bedrooms,2,,True,808476
697,1 bedroom,1,1,False,734749
698,2 bedrooms,2,1,False,808836
699,1 bedroom,1,1,False,736187
700,1 bedroom,1,,True,809567
701,1 bedroom,1,1,False,739239
702,1 bedroom,1,1,False,810346
703,1 bedroom,1,1,False,739242
704,1 bedroom,1,1,False,811238
705,1 bedroom,1,,True,740754
706,2 bedrooms,2,,False,812695
707,3 bedrooms,3,1,False,741154
708,1 bedroom,1,1,False,741712
709,1 bedroom,1,1,False,813554
710,2 bedrooms,2,1,False,741783
711,1 bedroom,1,,False,814327
712,1 bedroom,1,1,False,748233
713,1 bedroom,1,1,False,816888
714,2 bedrooms,2,1,False,749276
715,1 bedroom,1,,True,817113
716,1 bedroom,1,1,False,817355
717,2 bedrooms,2,1,False,752289
718,1 bedroom,1,1,False,818084
719,1 bedroom,1,1,False,752366
720,1 bedroom,1,1,False,818325
721,2 bedrooms,2,1,False,752616
722,1 bedroom,1,,True,818337
723,1 bedroom,1,,True,753622
724,1 bedroom,1,1,False,818451
725,1 bedroom,1,1,False,753687
726,1 bedroom,1,,True,818481
727,1 bedroom,1,,True,818518
728,2 bedrooms,2,1,False,753991
729,1 bedroom,1,,True,819206
730,1 bedroom,1,1,False,754353
731,1 bedroom,1,,True,819228
732,1 bedroom,1,1,False,755703
733,2 bedrooms,2,1,False,819416
734,1 bedroom,1,,True,819893
735,1 bedroom,1,1,False,758919
736,1 bedroom,1,,True,819956
737,1 bedroom,1,,True,759901
738,1 bedroom,1,0,False,820218
739,1 bedroom,1,1,False,761606
740,1 bedroom,1,,True,820710
741,1 bedroom,1,,False,761835
742,9 bedrooms,9,1,False,820801
743,1 bedroom,1,,False,762015
744,2 bedrooms,2,1,False,820953
745,1 bedroom,1,1,False,762145
746,1 bedroom,1,1,False,821135
747,1 bedroom,1,2,False,762426
748,1 bedroom,1,1,False,824421
749,1 bedroom,1,1,False,763600
750,1 bedroom,1,,False,825129
751,1 bedroom,1,,True,763809
752,1 bedroom,1,1,False,825193
753,1 bedroom,1,1,False,825550
754,1 bedroom,1,,True,826685
755,1 bedroom,1,,True,765315
756,1 bedroom,1,1,False,828130
757,3 bedrooms,3,2,False,765563
758,1 bedroom,1,1,False,828616
759,2 bedrooms,2,1,False,765569
760,2 bedrooms,2,1,False,829935
761,1 bedroom,1,1,False,766542
762,1 bedroom,1,1,False,831911
763,1 bedroom,1,1,False,832596
764,1 bedroom,1,1,False,766814
765,3 bedrooms,3,2,False,836720
766,1 bedroom,1,,True,766964
767,1 bedroom,1,1,False,837503
768,1 bedroom,1,,True,767286
769,1 bedroom,1,1,False,838070
