,Unnamed: 0,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,TEMP_CORD
3830,70581,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2396,211,,A1,"28 LUNDI COURT, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,7846.0,3036.0,1970.0,1,A1,0,2023-03-27,"40.5867139,-74.15755349999999"
3831,70582,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2397,52,,A5,"47 ELWOOD AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,3100.0,2420.0,1982.0,1,A5,0,2023-07-25,"40.5859001,-74.1586544"
3832,70583,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2397,224,,A5,"297 RICHMOND HILL ROAD, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2214.0,1404.0,1987.0,1,A5,0,2023-03-27,"40.5844105,-74.159061"
3833,70584,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2397,233,,A5,"281 RICHMOND HILL ROAD, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,3750.0,1404.0,1987.0,1,A5,640000,2023-02-10,"40.5846845,-74.1595833"
3834,70585,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2397,274,,A5,"30 ELWOOD AVE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,1800.0,1804.0,1987.0,1,A5,0,2022-12-20,"40.585401,-74.15858899999999"
3835,70586,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2397,344,,A5,"73 VILLA NOVA STREET, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2500.0,2360.0,1983.0,1,A5,0,2023-02-08,"40.5856656,-74.159675"
3836,70587,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2398,54,,A1,"164 BRIDGETOWN STREET, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,4200.0,1928.0,1975.0,1,A1,885000,2023-06-22,"40.5839263,-74.15617739999999"
3837,70588,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2398,90,,A1,"175 BRIDGETOWN STREET, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,4200.0,1856.0,1970.0,1,A1,650000,2023-07-26,"40.5834422,-74.1560397"
3838,70589,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2398,96,,A1,"163 BRIDGETOWN STREET, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,4200.0,1856.0,1970.0,1,A1,0,2023-08-15,"40.5837199,-74.1558104"
3839,70590,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2402,38,,A5,"410 NOME AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2500.0,2441.0,1985.0,1,A5,850000,2023-07-10,"40.5891811,-74.16361979999999"
3840,70591,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2402,55,,A5,"374 NOME AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2600.0,2441.0,1985.0,1,A5,0,2023-08-29,"40.5885958,-74.16261639999999"
3841,70592,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2402,103,,A5,"300 MERRY MOUNT STREET, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2500.0,2305.0,1985.0,1,A5,0,2023-05-05,"40.58703879999999,-74.1627024"
3842,70593,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2402,103,,A5,"300 MERRY MOUNT STREET, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2500.0,2305.0,1985.0,1,A5,820000,2023-08-24,"40.58703879999999,-74.1627024"
3843,70594,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2402,115,,A5,"127 RICHMOND HILL ROAD, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,1800.0,1610.0,1992.0,1,A5,0,2023-08-07,"40.5869273,-74.16373089999999"
3844,70595,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2402,128,,A5,"107 RICHMOND HILL ROAD, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,970.0,1159.0,1992.0,1,A5,400000,2023-07-24,"40.5874375,-74.164412"
3845,70596,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2402,161,,A5,"36 COUNTRY DRIVE SOUTH, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,820.0,1360.0,1992.0,1,A5,0,2022-12-28,"40.587209,-74.1640556"
3846,70597,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2410,13,,A5,"286 RICHMOND HILL ROAD, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,1110.0,1500.0,1987.0,1,A5,400000,2023-04-12,"40.5841327,-74.1595145"
3847,70598,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2410,15,,A5,"290 RICHMOND HILL ROAD, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2146.0,1000.0,1987.0,1,A5,485000,2023-04-28,"40.5840811,-74.1594227"
3848,70599,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2440,31,,A5,"54 MILLSTONE COURT, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,1666.0,1350.0,2000.0,1,A5,626000,2023-03-03,"40.575522,-74.16412439999999"
3849,70600,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2445,11,,A5,"30 LOTT LANE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2520.0,2016.0,1997.0,1,A5,525000,2023-02-22,"40.5755614,-74.1632539"
3850,70601,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2445,19,,A5,"42 LOTT LANE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2520.0,2016.0,1997.0,1,A5,702000,2023-05-30,"40.5753298,-74.1634471"
3851,70602,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2445,30,,A5,"57 LOTT LANE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2625.0,2016.0,1997.0,1,A5,690000,2023-10-06,"40.57514279999999,-74.16397529999999"
3852,70603,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2452,3,,A5,"434 RICHMOND HILL ROAD, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,1209.0,1500.0,1987.0,1,A5,0,2023-07-03,"40.5819965,-74.15545519999999"
