id,price,minimum_nights,rent
1090,209,30,1090
1091,79,30,1091
1092,165,30,1092
1093,405,30,1093
1094,110,30,1094
1095,179,30,1095
1096,59,30,1096
1097,154,4,1097
1098,140,30,1098
1099,314,30,1099
1100,186,30,1100
1101,114,115,1101
1102,1899,30,1102
1103,115,90,1103
1104,125,30,1104
1105,150,30,1105
1106,175,30,1106
1107,149,30,1107
1108,155,60,1108
1109,190,30,1109
1110,175,30,1110
1111,600,30,1111
1112,225,30,1112
1113,135,30,1113
1114,64,30,1114
1115,175,30,1115
1116,100,30,1116
1117,40,30,1117
1118,160,30,1118
1119,550,30,1119
1120,349,30,1120
1121,135,30,1121
1122,129,30,1122
1123,99,30,1123
1124,150,30,1124
1125,250,30,1125
1126,175,30,1126
1127,55,30,1127
1128,257,30,1128
1129,164,30,1129
1130,386,30,1130
1131,106,30,1131
1132,35,30,1132
1133,119,30,1133
1134,700,30,1134
1135,81,30,1135
1136,50,30,1136
1137,350,30,1137
1138,227,30,1138
1139,120,60,1139
1140,20,30,1140
1141,157,30,1141
1142,200,30,1142
1143,80,30,1143
1144,140,30,1144
1145,175,30,1145
1146,180,30,1146
1147,450,30,1147
1148,115,95,1148
1149,110,105,1149
1150,109,30,1150
1151,200,30,1151
1152,160,30,1152
1153,275,30,1153
1154,250,30,1154
1155,89,30,1155
1156,135,30,1156
1157,65,30,1157
1158,339,30,1158
1159,195,30,1159
1160,70,30,1160
1161,311,30,1161
1162,1006,30,1162
1163,200,30,1163
1164,80,30,1164
1165,141,30,1165
1166,300,250,1166
1167,128,30,1167
1168,250,30,1168
1169,140,30,1169
1170,59,30,1170
1171,235,120,1171
1172,115,30,1172
1173,125,30,1173
1174,48,30,1174
1175,400,31,1175
1176,200,30,1176
1177,50,30,1177
1178,95,30,1178
1179,185,30,1179
1180,177,30,1180
1181,550,30,1181
1182,79,30,1182
1183,245,30,1183
1184,142,2,1184
1185,60,30,1185
1186,160,30,1186
1187,145,30,1187
1188,140,30,1188
1189,105,30,1189
1190,95,30,1190
1191,180,30,1191
1192,200,30,1192
1193,65,30,1193
1194,235,30,1194
1195,113,30,1195
1196,259,30,1196
1197,249,30,1197
1198,280,40,1198
1199,200,30,1199
1200,284,30,1200
1201,140,30,1201
1202,375,30,1202
1203,121,30,1203
1204,179,30,1204
1205,54,30,1205
1206,217,30,1206
1207,68,30,1207
1208,139,30,1208
1209,70,30,1209
1210,100,30,1210
1211,257,30,1211
1212,46,30,1212
1213,89,30,1213
1214,160,30,1214
1215,240,30,1215
1216,166,30,1216
1217,69,30,1217
1218,150,30,1218
1219,65,30,1219
1220,84,30,1220
1221,75,30,1221
1222,245,30,1222
1223,175,30,1223
1224,150,30,1224
1225,80,30,1225
1226,100,30,1226
1227,50,30,1227
1228,250,30,1228
1229,220,30,1229
1230,160,30,1230
1231,499,30,1231
1232,200,30,1232
1233,275,30,1233
1234,70,30,1234
1235,92,30,1235
1236,98,30,1236
1237,200,365,1237
1238,499,30,1238
1239,160,30,1239
1240,120,30,1240
1241,56,30,1241
1242,125,30,1242
1243,60,30,1243
1244,500,30,1244
1245,142,30,1245
1246,134,4,1246
1247,180,30,1247
1248,94,30,1248
1249,226,30,1249
1250,100,30,1250
1251,95,30,1251
1252,250,30,1252
1253,80,30,1253
1254,180,30,1254
1255,36,30,1255
1256,200,30,1256
1257,165,30,1257
1258,130,30,1258
1259,175,30,1259
1260,179,30,1260
1261,93,30,1261
1262,175,30,1262
1263,105,30,1263
1264,185,30,1264
1265,95,30,1265
1266,80,30,1266
1267,195,30,1267
1268,357,30,1268
1269,300,30,1269
1270,108,30,1270
1271,140,30,1271
1272,83,30,1272
1273,188,30,1273
1274,93,30,1274
1275,66,30,1275
1276,110,30,1276
1277,99,30,1277
1278,35,30,1278
1279,90,30,1279
1280,88,30,1280
