BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,TEMP_CORD
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15915,43,,B3,"350 BEACH 68TH STREET, NYC, QUEENS",,11692.0,2.0,0.0,2.0,4000.0,1999.0,1910.0,1,B3,820000,2023-11-15,"40.5923568,-73.79691849999999"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15916,43,,B2,"352 BEACH 69TH STREET, NYC, QUEENS",,11692.0,2.0,0.0,2.0,6000.0,2926.0,1910.0,1,B2,0,2022-12-12,"40.5923408,-73.7979015"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15916,43,,B2,"352 BEACH 69TH STREET, NYC, QUEENS",,11692.0,2.0,0.0,2.0,6000.0,2926.0,1910.0,1,B2,0,2023-08-14,"40.5923408,-73.7979015"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15965,23,,B3,"442 BEACH 44TH STREET, NYC, QUEENS",,11691.0,2.0,0.0,2.0,3470.0,2164.0,1899.0,1,B3,670000,2023-01-13,"40.5969415,-73.7757438"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15965,40,,B2,"474 BEACH 44TH STREET, NYC, QUEENS",,11691.0,2.0,0.0,2.0,2107.0,2244.0,2002.0,1,B2,625000,2023-01-20,"40.5978584,-73.7758599"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15965,143,,B2,"484 BEACH 44TH STREET, NYC, QUEENS",,11691.0,2.0,0.0,2.0,2862.0,2288.0,2004.0,1,B2,0,2023-05-28,"40.598086,-73.7758806"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15972,20,,B9,"450 BEACH 48TH STREET, NYC, QUEENS",,11691.0,2.0,0.0,2.0,9677.0,1869.0,1960.0,1,B9,0,2023-05-13,"40.5969747,-73.7789683"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,16005,103,,B2,"62-28 HILLMEYER ROAD, NYC, QUEENS",,11692.0,2.0,0.0,2.0,3179.0,2281.0,2022.0,1,B2,699000,2022-12-09,"40.598174,-73.791752"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,16005,105,,B1,"62-22 HILLMEYER ROAD, NYC, QUEENS",,11692.0,2.0,0.0,2.0,3179.0,2281.0,2022.0,1,B1,783500,2023-01-17,"40.5981712,-73.7916116"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,16005,106,,B2,"62-20 HILLMEYER ROAD, NYC, QUEENS",,11692.0,2.0,0.0,2.0,3179.0,2281.0,2022.0,1,B2,814600,2023-01-27,"40.598194,-73.79140600000001"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,16005,107,,B2,"62-16 HILLMEYER ROAD, NYC, QUEENS",,11692.0,2.0,0.0,2.0,3179.0,2281.0,2022.0,1,B2,773870,2023-07-17,"40.5982,-73.791291"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,16007,43,,B2,"62-35 ALMEDA AVENUE, NYC, QUEENS",,11692.0,2.0,0.0,2.0,3317.0,2254.0,2010.0,1,B2,0,2022-12-08,"40.5970656,-73.7925151"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,16008,28,,B2,"6211 BURCHELL ROAD, NYC, QUEENS",,11692.0,2.0,0.0,2.0,4000.0,2000.0,2004.0,1,B2,625000,2023-07-24,"40.5964327,-73.7915665"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,16023,10,,B2,"618 BEACH 64TH STREET, NYC, QUEENS",,11692.0,2.0,0.0,2.0,3400.0,2068.0,1996.0,1,B2,699999,2023-05-19,"40.59767009999999,-73.7935068"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,16023,30,,B2,"6-39 BEACH 63RD STREET, NYC, QUEENS",,11692.0,2.0,0.0,2.0,3400.0,2068.0,1996.0,1,B2,625000,2023-11-06,"40.5983439,-73.7930901"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,16023,48,,B2,"609 BEACH 63RD STREET, NYC, QUEENS",,11692.0,2.0,0.0,2.0,3400.0,2068.0,1996.0,1,B2,764181,2023-10-23,"40.5975182,-73.79301629999999"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,16023,48,,B2,"609 BEACH 63RD STREET, NYC, QUEENS",,11692.0,2.0,0.0,2.0,3400.0,2068.0,1996.0,1,B2,100,2023-10-11,"40.5975182,-73.79301629999999"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,16027,5,,B2,"614 BEACH 67TH STREET, NYC, QUEENS",,11692.0,2.0,0.0,2.0,2500.0,2040.0,2021.0,1,B2,901151,2022-12-15,"40.59739,-73.796284"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,16027,11,,B3,"622 BEACH 67TH STREET, NYC, QUEENS",,11692.0,2.0,0.0,2.0,2700.0,1422.0,1940.0,1,B3,0,2023-06-05,"40.5976181,-73.796452"
